,type,drugbank_id,name,state,cal_logp,cal_logs,cal_water_solubility,cal_molecular_weight,cal_polar_surface_area,cal_refractivity,cal_polarizability,cal_rotatable_bond_count,cal_h_bond_acceptor_count,cal_h_bond_donor_count,cal_pka_acidic,cal_pka_basic,cal_physiological_charge,cal_number_of_rings,cal_bioavailability,cal_rule_of_five,exp_molecular_weight,exp_logp,exp_pka,half_life
0,biotech,DB00001,Lepirudin,liquid,,,,,,,,,,,,,,,,,6963.425,,,Approximately 1.3 hours
1,biotech,DB00002,Cetuximab,liquid,,,,,,,,,,,,,,,,,145781.6,,,"After administration of a 400 mg/m<sup>2</sup> initial dose followed by a 250 mg/m<sup>2</sup> weekly dose, the mean half-life for cetuximab was approximately 112 hours, with a range of 63 to 230 hours.[L30448]"
2,biotech,DB00003,Dornase alfa,liquid,,,,,,,,,,,,,,,,,29253.9,,,
3,biotech,DB00004,Denileukin diftitox,liquid,,,,,,,,,,,,,,,,,57647.3,,,70-80 min
4,biotech,DB00005,Etanercept,liquid,,,,,,,,,,,,,,,,,51234.9,,,"Etanercept has a mean half-life of elimination of 102 hours in RA patients.[L14862] Population models have shown a mean half-life of 68 hours in healthy adults and 70.7-94.8 hours in pediatric JIA patients.[A215657,A215357]"
5,small molecule,DB00006,Bivalirudin,solid,-0.76,-4.7,4.64e-02 g/l,2180.2853,901.57,543.33,218.54,66,37,28,2.78,11.88,-4,6,0,0,,,,"* Normal renal function: 25 min (in normal conditions)
* Creatinine clearance 10-29mL/min: 57min
* Dialysis-dependant patients: 3.5h"
6,small molecule,DB00007,Leuprolide,solid,1.04,-4.6,3.38e-02 g/l,1209.3983,429.04,327.24,125.24,32,16,16,9.49,11.92,1,6,0,0,,,9.6,"Leuprolide has a terminal elimination half-life of approximately three hours.[L10310, L13781, L13784, L13787, L13790, L13814, L34415]"
7,biotech,DB00008,Peginterferon alfa-2a,liquid,,,,,,,,,,,,,,,,,60000.0,,,The mean terminal half-life of peginterferon alfa-2a is 164 in a range of 84-353 hours [FDA Label].
8,biotech,DB00009,Alteplase,liquid,,,,,,,,,,,,,,,,,59042.3,,,
9,biotech,DB00010,Sermorelin,liquid,,,,,,,,,,,,,,,,,3357.882,,,11-12 min
