Bacteria,NP_Synthesis,drug,Drug_class_drug_bank,Drug_dose,NP_concentration,NP size_avg,shape,method,ZOI_drug,ZOI_NP,ZOI_drug_NP,fold_increase_in_antibacterial_activity (%),MDR_check,Tax_id,gram,biosafety_level,isolated_from,chemID,smiles,MolWt,MolLogP,NumHAcceptors,NumHDonors,TPSA,cal_logs,cal_pka_acidic,cal_pka_basic,cal_number_of_rings,cal_rule_of_five
Escherichia coli,chem_synthesis_reduction_by_D_maltose,Amoxicillin,Lactams,,,8.0,spherical,MIC,32.0,6.3,0.5329862365039102,,1,['562'],0.0,2.0,urine,CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,365.4110000000001,0.023700000000000443,6.0,4.0,132.96,-2.6,3.23,7.43,3.0,1.0
Escherichia coli,chem_synthesis_reduction_by_D_maltose,Penicillin,Carboxylic acids and derivatives,,,8.0,spherical,MIC,32.0,6.3,0.5329862365039102,,1,['562'],0.0,2.0,urine,CHEMBL1223,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+],372.4870000000001,-3.4698999999999973,5.0,1.0,89.54,-2.9,3.39,-4.9,3.0,1.0
Escherichia coli,chem_synthesis_reduction_by_D_maltose,Amoxicillin,Lactams,,,28.0,spherical,MIC,32.0,25.0,0.5329862365039102,,1,['562'],0.0,2.0,urine,CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,365.4110000000001,0.023700000000000443,6.0,4.0,132.96,-2.6,3.23,7.43,3.0,1.0
Escherichia coli,chem_synthesis_reduction_by_D_maltose,Penicillin,Carboxylic acids and derivatives,,,28.0,spherical,MIC,32.0,25.0,0.5329862365039102,,1,['562'],0.0,2.0,urine,CHEMBL1223,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+],372.4870000000001,-3.4698999999999973,5.0,1.0,89.54,-2.9,3.39,-4.9,3.0,1.0
Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Vancomycin,Carboxylic acids and derivatives,30.0,100,21.0,spherical,disc_diffusion,0.0,14.0,0.1850159694240626,7.02,1,['1270'],1.0,1.0,soil,CHEMBL262777,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,,0.10620000000000512,25.0,19.0,530.4900000000002,-3.8,2.99,9.93,10.0,0.0
Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100,21.0,spherical,disc_diffusion,0.0,14.0,0.20033044383767548,7.02,1,['1270'],1.0,1.0,soil,CHEMBL463809,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,477.60300000000035,-3.327499999999995,12.0,8.0,199.73,-1.6,12.55,10.12,9.0,0.0
Staphylococcus aureus,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30,13.5,nanorods and triangles,disc_diffusion,12.0,,1.0432337322288876,0.6,0,['1280'],1.0,2.0,skin,CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,546.5870000000002,-1.2991999999999946,11.0,3.0,191.22,-5.0,2.77,4.26,4.0,0.0
Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,30.0,spherical,MIC,,,0.3718517459747912,,1,['1282'],1.0,2.0,nose,CHEMBL463809,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,477.60300000000035,-3.327499999999995,12.0,8.0,199.73,-1.6,12.55,10.12,9.0,0.0
Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30,13.5,nanorods and triangles,disc_diffusion,22.0,,1.0432033690529443,4.2,0,['488'],0.0,2.0,sputum,CHEMBL174,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,349.4120000000001,0.3181000000000002,5.0,3.0,112.73,-2.8,3.24,7.44,3.0,1.0
Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,Carboxylic acids and derivatives,500.0,30,13.5,nanorods and triangles,disc_diffusion,46.0,,0.8165242143567633,0.1,0,['488'],0.0,2.0,sputum,CHEMBL1223,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+],372.4870000000001,-3.4698999999999973,5.0,1.0,89.54,-2.9,3.39,-4.9,3.0,1.0
